Ndex,Cameo Pokémon,Card name,Set,#,Notes
,,Jynx,Furious Fists,37,
,,,Generations,36,
,,Champions Festival,SM Promos,231,statue
,,Litten,MEP Promos,44,
69,Bellsprout,Computer Error,Wizards Promos,16,
,,Slowking,Southern Islands,14,
,,Slowbro,T Promos,5,
,,Sage's Training,Undaunted,77,
,,,Call of Legends,85,
,,Mew ex,Paldean Fates,232,
,,Chansey,Twilight Masquerade,187,
,,Good Manners,Gym Heroes,111,plant
,,Sprout Tower,Neo Genesis,97,statue
70,Weepinbell,Trade Please!,Miscellaneous Promos,-,
,,,XY-P Promos,282,
,,Jigglypuff,Southern Islands,8,
,,Pokémon Reversal,Expedition,146,
,,Good Manners,Gym Heroes,111,plant
71,Victreebel,Challenge!,Team Rocket,74,
,,,Legendary Collection,106,
,,Blaine's Quiz #1,Gym Heroes,97,silhouette
,,Good Manners,Gym Heroes,111,plant
72,Tentacool,Captain Pikachu,Pokémon Center promo,-,Jumbo
,,Misty's Cerulean City Gym,Hidden Fates,61,mural
73,Tentacruel,Tropical Present,Miscellaneous Promos,late '99,Jumbo
74,Geodude,Pokémon Reversal,Expedition,146,
,,Switch,Ruby & Sapphire,92,
,,,FireRed & LeafGreen,102,
,,,Delta Species,102,
,,,Dragon Frontiers,83,
,,,Celestial Storm,147,
,,Ditto,Delta Species,62,Ditto's disguise
,,Team Rocket's Meowth,Wizards Promos,18,silhouette
,,Blaine's Quiz #3,Gym Challenge,112,clothing design
75,Graveler,Bill's PC,Expansion Sheet 3,-,
77,Ponyta,Ouch! At the Pokémon Mansion,Expansion Sheet 3,-,
,,Bronzong,BREAKthrough,96,drawing
,Galarian Ponyta,Mew,Crown Zenith,GG10,
,,Milcery,Stellar Crown,152,sweets
78,Rapidash,Champions Festival,XY Promos,91,
,,Ponyta,Gem Pack Vol. 4,01 07,this card was only released in Simplified Chinese
79,Slowpoke,Raticate,Southern Islands,6,
,,Flareon VMAX,SWSH Promos,180,
,,Wiglett,Scarlet & Violet,206,
,,Pikachu,151,173,
,,Ivysaur,Southern Islands,5,only partially visible
,,PokéPark's Mudkip,PCG-P Promos,48,
,,Poké Maniac,Unified Minds,204,costume
,,Poké Maniac,Unified Minds,236,
80,Slowbro,Recall,Gym Heroes,116,
,,Sabrina's Gastly,Gym Challenge,96,shadow
,Mega Slowbro,Slowbro Spirit Link,Evolutions,86,
,,Poncho-wearing Pikachu,XY-P Promos,203,costume
81,Magnemite,Switch,Base Set,95,
,,,Base Set 2,123,
,,,VS: Tropical Mega Battle,-,
,,,Evolutions,88,
,,Computer Error,Wizards Promos,16,
,,Super Scoop Up,Neo Genesis,98,
,,,VS: Tropical Mega Battle,-,
,,,Expedition,151,
,,,FireRed & LeafGreen,99,
,,,Delta Species,100,
,,,Celestial Storm,146,
,,Holon Researcher,Delta Species,95,
,,Spiky-Eared Pichu M,2009 Card Design Contest,Kindergarten,
,,Illusion's Zorua,2010 Card Design Contest,2nd Grade,
,,Magnezone,Unified Minds,60,
,,Magnezone,Crown Zenith,GG18,
,,Computer Search,Base Set,71,picture
,,,Base Set 2,101,
,,,TCG Classic: Venusaur Deck,20,
,,,TCG Classic: Charizard Deck,20,
,,,TCG Classic: Blastoise Deck,20,
,,Computer Search,Boundaries Crossed,137,
,,Iono,Paldea Evolved,185,hairpiece
,,,Paldean Fates,80,
,,Iono,Paldea Evolved,254,
,,Iono,Paldea Evolved,269,
,,Iono,Paldean Fates,237,
,,Iono,SV Promos,124,
,,Iono's Kilowattrel,Journey Together,163,
,,Iono's Bellibolt ex,Journey Together,172,
,,,Journey Together,188,
,,Iono's Bellibolt ex,Journey Together,183,
,,Iono's Wattrel,Ascended Heroes,231,
,,Iono's Bellibolt ex,SV Promos,194,
,,Iono's Bellibolt ex,Ascended Heroes,279,
82,Magneton,Magnezone,Crown Zenith,GG18,
83,Farfetch'd,Pokémon Trader,Base Set,77,
,,,Base Set 2,106,
,,,Legendary Collection,103,
,,Computer Error,Wizards Promos,16,only its leek
84,Doduo,Machoke,Expansion Sheet 3,-,
,,Digger,Team Rocket,75,
,,Machamp,Wizards Promos,43,
,,Lucky Stadium,Neo Destiny,100,
,,No.1 Trainer,Battle Road Promo,-,"has prints in Neo and e-Card layouts, with both girl and boy trainers"
,,No.2 Trainer,Battle Road Promo,-,
,,Ditto,Skyridge,51,wall painting
,,Eevee,Skyridge,54,
,,Wobbuffet,Skyridge,45,
85,Dodrio,Jigglypuff,Southern Islands,8,
,,Galarian Zapdos,SWSH Promos,283,
,,Ledyba,Southern Islands,7,only partially visible
87,Dewgong,Misty's Favor,Unified Minds,202,mural
,,Misty's Cerulean City Gym,Hidden Fates,61,
88,Grimer,Dewott,Legendary Treasures,38,
,,Eevee,Hidden Fates,48,
89,Muk,Challenge!,Team Rocket,74,
,,,Legendary Collection,106,
90,Shellder,Horsea,Aquapolis,84,
,,Slowpoke,BREAKpoint,19,
,,Solosis,Fates Collide,33,
,,Slowpoke & Psyduck-GX,Unified Minds,218,
,,Medicham V,Evolving Skies,186,
,,Wiglett,Scarlet & Violet,206,
,,Relicanth,Temporal Forces,173,
91,Cloyster,Medicham V,Evolving Skies,186,
92,Gastly,The Puzzle of Pokémon Tower?,Expansion Sheet 3,-,
,,Morty's Marowak,VS,23,
,,Gourgeist,Art Academy Promo,rina,
,,Sabrina's Haunter,Gym Heroes,58,silhouette
,,Greavard,Scarlet & Violet,214,plushie
93,Haunter,Bill's PC,Expansion Sheet 3,-,
,,The Puzzle of Pokémon Tower?,Expansion Sheet 3,-,
,,Gourgeist,Art Academy Promo,rina,
,,Psyduck,SM-P Promos,286,
,,Gastly,Temporal Forces,177,
,,Paradise Resort,SV Promos,224,
,,Acerola,SM-P Promos,395,silhouette
94,Gengar,Imposter Oak's Revenge,Team Rocket,76,
,,Rocket's Hideout,Neo Revelation,63,
,,Hoppip,How I Became a Pokémon Card,-,
,,Gourgeist,Art Academy Promo,rina,
,,Psyduck,SM-P Promos,286,
,,Surprise Box,Unbroken Bonds,187,
,,Pikachu,151,173,
,,Victini ex,SV-P Promos,52,"this card was only released in Traditional Chinese, Indonesian, Thai, and Simplified Chinese"
,,Gastly,Temporal Forces,177,
,,Morty's Conviction,Temporal Forces,211,
,,Pikachu,Collection 151,172,this card was only released in Simplified Chinese
,,Sabrina's Haunter,Gym Heroes,58,silhouette
,,Blaine's Quiz #1,Gym Heroes,97,
,,Acerola,SM-P Promos,395,
,,Mimikyu V,Brilliant Stars,TG16,plushie
,,Greavard,Scarlet & Violet,214,
,Mega Gengar,Pikachu,XY-P Promos,90,
,,Gengar Spirit Link,Phantom Forces,95,
95,Onix,Brock's Training Method,Gym Heroes,106,
,,Computer Error,Wizards Promos,16,
,,Pidgeot,Southern Islands,2,
,,Lucky Stadium,Kyūshū World Challenge Promo,-,
,,Brock's Training,Hidden Fates,55,
,,Blaine's Quiz #2,Gym Challenge,111,silhouette
,,Brock's Protection,Gym Challenge,101,clothing design
,,Umbreon ,Neo Discovery ,32,carving
96,Drowzee,Team Rocket's Wobbuffet,SV Promos,203,
97,Hypno,Clefairy,BREAKpoint,81,
98,Krabby,Horsea of the Seafoam Islands,Expansion Sheet 3,-,
,,Blaine's Quiz #1,Gym Heroes,97,silhouette
,,Champions Festival,XY Promos,176,sign
,,Misty's Cerulean City Gym,Hidden Fates,61,mural
100,Voltorb,Machamp,Wizards Promos,43,
,,No.1 Trainer,Battle Road Promo,-,"has prints in Neo and e-Card layouts, with both girl and boy trainers"
,,Pokémon Retriever,Team Rocket Returns,84,
,,Holon Scientist,Delta Species,97,
,,Electrode,Team Up,39,
,,Eevee,Hidden Fates,48,
,,Power Plant,Cosmic Eclipse,269,
,,Minccino,Sword & Shield,146,plushie
,,Eevee,SV Promos,173,
,,Lt. Surge's Bargain,Mega Evolution,185,exercize ball
,,Mightyena,Astral Radiance,TG09,sweets
,,Morpeko,Paradox Rift,206,
,,Pokémon Communication,Team Up,152b,silhouette
,Hisuian Voltorb,Celebratory Fanfare,S-P Promos,306,
101,Electrode,Spiky-Eared Pichu M,2009 Card Design Contest,Kindergarten,
,,Pikachu's Summer Vacation,Miscellaneous Promos,-,flag staff; Jumbo
,,Sophocles,Burning Shadows,123,keychain
,,,Shining Legends,65,
102,Exeggcute,Alolan Exeggutor,Team Up,115,
103,Exeggutor,No.1 Trainer,Tropical Mega Battle Promo,-,
,,No.2 Trainer,Tropical Mega Battle Promo,-,
,,No.3 Trainer,Tropical Mega Battle Promo,-,
,,Lucky Stadium,Tropical Mega Battle Promo,-,
,,Tropical Breeze,VS: Tropical Mega Battle,-,
,,Flareon VMAX,SWSH Promos,180,
,,Ledyba,Southern Islands,7,only partially visible
,Alolan Exeggutor,Champions Festival,SM Promos,78,
,,Exeggcute,SM Promos,119,
,,Jirachi,SM-P Promos,89,
,,Player's Ceremony,SM-P Promos,248,
,,Paradise Resort,SV Promos,150,
,,Paradise Resort,SV Promos,224,
,,Champions Festival,SM Promos,231,picture
,,Pikachu at the Museum,MEP Promos,-,stained glass; Jumbo
104,Cubone,Mr. Fuji,Fossil,58,
,,The Puzzle of Pokémon Tower?,Expansion Sheet 3,-,
,,Pikachu,SM-P Promos,200,
,,Pikachu,Collection 151,173,this card was only released in Simplified Chinese
105,Marowak,Cubone,Forbidden Light,57,cloud
,,Charmander,MEP Promos,38,Ghost
106,Hitmonlee,Guard Spec.,Expansion Sheet 2,-,
,,Challenge!,Team Rocket,74,
,,,Legendary Collection,106,
,,Black Belt,Triumphant,85,
,,Hitmonchan,Sword & Shield,95,silhouette
,,,TCG Classic: Venusaur Deck,12,
107,Hitmonchan,Machamp,Wizards Promos,43,
,,Tyrogue,Aquapolis,63,
,,Hitmontop,Aquapolis,82,
,,Pokémon Pal City,Chūbu Battle City Promo,-,
,,Black Belt,Triumphant,85,
,,Hitmonlee,Sword & Shield,94,silhouette
,,,TCG Classic: Venusaur Deck,11,
108,Lickitung,Mr. Fuji,Fossil,58,
,,Paradise Resort,SV Promos,224,
109,Koffing,Imposter Oak's Revenge,Team Rocket,76,
,,Koga's Ninja Gym,Miscellaneous Promos,-,
,,Pokémon Fan Club,POP Series 4,9,
,,Arcade Game,Neo Genesis,83,picture
,,Arcade Game,"Gold, Silver, to a New World...",-,
,,Venipede,Boundaries Crossed,72,sign
,,Virbank City Gym,Plasma Storm,126,
,,Roxie,Cosmic Eclipse,205,
,,Roxie,Tag All Stars,197,grafitti
110,Weezing,Transparent Walls,Gym Challenge,125,
,,Switch,Expedition,157,
,Galarian Weezing,Champions Festival,SWSH Promos,296,
,,Yanma,Astral Radiance,6,statue
,,Swinub,Astral Radiance,31,
,,Misdreavus,Astral Radiance,58,
,,Adaman,Astral Radiance,135,
,,Cyllene,Astral Radiance,138,
,,Jubilife Village,Astral Radiance,148,
,,Jubilife Village,Astral Radiance,212,
111,Rhyhorn,Eevee,SM Promos,235,
,,Arceus V,SWSH Promos,204,
112,Rhydon,The Last Cave – Cerulean!,Expansion Sheet 3,-,
,,Pokémon Personality Test,Neo Destiny,102,
,,Salvatore,Temporal Forces,212,embroidery
113,Chansey,Machoke,Expansion Sheet 3,-,
,,No.1 Trainer,Battle Road Promo,-,"has prints in Neo and e-Card layouts, with both girl and boy trainers"
,,No.2 Trainer,Battle Road Promo,-,
,,Pokémon Center,Wizards Promos,40,
,,Pokémon Center Lady,Hidden Fates,64,
,,Blissey V,Chilling Reign,183,picture
,,Excadrill,Temporal Forces,174,wrapper
114,Tangela,Tangrowth,Art Academy Promo,Gosha,
115,Kangaskhan,Sylveon VMAX,Evolving Skies,212,
,,Mega Kangaskhan ex,Mega Evolution,164,
,Mega Kangaskhan,Mega Lucario ex,Mega Evolution,179,
116,Horsea,Misty's Duel,Gym Heroes,123,
,,Horsea of the Seafoam Islands,Expansion Sheet 3,-,
,,Wartortle,Southern Islands,15,
,,Goldeen,BREAKthrough,27,
,,Vaporeon VMAX,SWSH Promos,182,
,,Totodile,Phantom Forces,15,statue
,,Wooper,SV Promos,155,engraving
,,Quagsire,SV Promos,156,
117,Seadra,New Year Present,Miscellaneous Promos,-,Jumbo
118,Goldeen,Misty's Cerulean City Gym,Hidden Fates,61,mural
119,Seaking,Mew,Art Academy Promo,Phanpy,this card was only released in German
120,Staryu,Misty's Tears,Leaders' Stadium,-,
,,Horsea of the Seafoam Islands,Expansion Sheet 3,-,
,,Lucky Stadium,Tropical Mega Battle Promo,-,
,,Veluza,Paradox Rift,192,
,,Team Rocket's Meowth,Wizards Promos,18,silhouette
,,Pokémon Communication,Team Up,152b,
,,Pikachu Wearing a Batik Shirt,SV-P Promos,155,clothing design; this card was only released in Indonesian
,,Misty's Cerulean City Gym,Hidden Fates,61,mural
,,Wooper,Vivid Voltage,83,bath toy
,,Morpeko,Paradox Rift,206,sweets
121,Starmie,Gyarados,Pokémon Rumble,6,
,,Kirlia,BREAKthrough,69,
,,Misty's Water Command,Hidden Fates,63,
,,Mega Starmie ex,Nihil Zero,95,
,,Chespin,SM-P Promos,260,ornament
,,Inkay,SM-P Promos,261,
,,Misty's Favor,Unified Minds,202,mural
,,Misty's Cerulean City Gym,Hidden Fates,61,
122,Mr. Mime,Tickling Machine,Gym Heroes,119,
,,Kirlia,BREAKthrough,69,
,,Pikachu,151,173,
,,Cincinno,Temporal Forces,183,
,,Ditto,Delta Species,38,Ditto's disguise
,,Ditto,POP Series 3,12,
,Galarian Mr. Mime,Litleo,Lost Origin,28,
123,Scyther,The Rocket's Training Gym,Gym Heroes,104,
,,Violence in the Safari Zone!,Expansion Sheet 3,-,
,,Venusaur-EX,XY Promos,123,
,,Tarountula,Scarlet & Violet,199,
,,Spidops ex,Scarlet & Violet,243,only partially visible
124,Jynx,Koga's Tangela,Gym Challenge,81,
125,Electabuzz,Voltorb,Expansion Sheet 2,-,
,,Lt. Surge's Treaty,Gym Heroes,112,
,,Pokémon Reversal,Expedition,146,
,,Hitmontop,Furious Fists,49,
,,Pikachu-EX,XY Promos,124,
,,Blaine's Quiz #1,Gym Heroes,97,silhouette
126,Magmar,Charizard-EX,XY Promos,121,
,,Firebreather,Phantasmal Flames,89,costume
,,Firebreather,Phantasmal Flames,119,
,,Blaine's Quiz Show,Unified Minds,186,curtains
127,Pinsir,Heracross,Neo Genesis,6,only partially visible
,,Umbreon V,Evolving Skies,189,silhouette
128,Tauros,Miltank,Neo Genesis,41,
,,Litten,MEP Promos,44,
,,Entei,POP Series 2,1,only partially visible
,,Ditto,Skyridge,51,wall painting
,,Eevee,Skyridge,54,
,,Wobbuffet,Skyridge,45,
,,Champions Festival,SM Promos,148,mechanical bull
,,Salvatore,Temporal Forces,212,embroidery
,Paldean Tauros,Youngster,Scarlet & Violet,198,clothing design
129,Magikarp,Marill,Southern Islands,11,
,,Tropical Present,Miscellaneous Promos,late '99,Jumbo
,,Slowbro,Aquapolis,33,
,,Pokémon Pal City,Chūbu Battle City Promo,-,
,,Pikachu,Pokémon Rumble,7,
,,Qwilfish,HeartGold & SoulSilver,50,
,,Fisherman,HeartGold & SoulSilver,92,
,,Mew,Art Academy Promo,Phanpy,this card was only released in German
,,Brooklet Hill,Hidden Fates,SV88,
,,Feraligatr,SV Promos,213,
,,Pretend Magikarp Pikachu,XY-P Promos,150,costume
,,Pikachu,BW-P Promos,©2013,statue; Jumbo
,,Yanma,Astral Radiance,6,statue
,,Ducklett,Twilight Masquerade,139,
,,Popplio,MEP Promos,45,boat
,,Ditto,SV-P Promos,173,Ditto's disguise; this card was only released in Korean
130,Gyarados,New Year Present,Miscellaneous Promos,-,Jumbo
,,Lucky Stadium,Chūgoku World Challenge Promo,-,
,,Starmie,Pokémon Rumble,5,
,,Blastoise-EX,XY Promos,122,
,,Magikarp,Paldea Evolved,203,
,,Hiroshima's Pikachu,SV-P Promos ,261,
,,Pretend Gyarados Pikachu,XY-P Promos,151,costume
,,Blaine's Quiz #1,Gym Heroes,97,silhouette
,,Hassel,Twilight Masquerade,151,"drawing, only partially visible"
,Mega Gyarados,Gyarados Spirit Link,BREAKpoint,101,
131,Lapras,Misty's Treatment,Miscellaneous Promos,-,
,,Tropical Present,Miscellaneous Promos,late '99,Jumbo
,,Paradise Resort,SV Promos,45,
,,PokéPark's Mudkip,PCG-P Promos,48,only partially visible
,,Team Rocket's Meowth,Wizards Promos,18,silhouette
,,Ditto,SV-P Promos,173,Ditto's disguise; this card was only released in Korean
132,Ditto,Machoke,Expansion Sheet 3,-,
,,Koga's Ninja Trick,Gym Challenge,115,
,,Thought Wave Machine,Neo Destiny,96,
,,Shelmet,Fusion Strike,13,
,,Chansey,Twilight Masquerade,187,
,,Espeon V,Evolving Skies,180,drawing
,,Hassel,Twilight Masquerade,151,
,,Greavard,Scarlet & Violet,214,plushie
,,Influencer's Introduction,Start Deck 100 CoroCiao Version,19,blanket
,,Pokémon Communication,Team Up,152b,silhouette
133,Eevee,Snorlax,Wizards Promos,49,
,,Shaymin,Unleashed,8,
,,Pokémon Center,BW-P Promos,190,
,,_____'s Pikachu,BW-P Promos,©2012,Jumbo
,,Sylveon-EX,Generations,RC21,
,,Sylveon-EX,Generations,RC32,
,,Sapporo's Pikachu,SM-P Promos,5,
,,Zeraora and Friends,SM-P Promos,-,Jumbo
,,Munna,Unified Minds,88,
,,Champions Festival,SM Promos,231,
,,Glaceon VMAX,Evolving Skies,209,
,,Sylveon VMAX,Evolving Skies,212,
,,Paradise Resort,SV Promos,224,
,,Poké Kid,Shining Fates,70,costume
,,Penny,Scarlet & Violet,183,backpack
,,Penny,Scarlet & Violet,239,
,,Penny,Scarlet & Violet,252,
,,Clive,Paldean Fates,236,
,,Penny,Paldean Fates,239,
,,Cassiopeia,Shrouded Fable,56,
,,Cassiopeia,Shrouded Fable,86,
,,Friends in Paldea,Prismatic Evolutions,109,
,,Friends in Paldea,Prismatic Evolutions,137,
,,Espeon V,Evolving Skies,180,drawing
,,Hassel,Twilight Masquerade,151,
,,Flareon V,SWSH Promos,179,picture
,,Cassiopeia,Shrouded Fable,94,phone case
,,Pikachu,SM-P Promos,288,silhouette
,,Iono,Paldea Evolved,269,sweets
134,Vaporeon,Pokémon Center,BW-P Promos,190,
,,Flareon-EX,Generations,RC28,
,,Blastoise-EX,XY Promos,122,
,,Sylveon VMAX,Evolving Skies,212,
,,Poncho-wearing Eevee,SM-P Promos,137,costume
,,Blaine's Quiz #1,Gym Heroes,97,silhouette
135,Jolteon,Pokémon Center,BW-P Promos,190,
,,Flareon-EX,Generations,RC28,
,,Pikachu-EX,XY Promos,124,
,,Flareon,T Promos,1,only partially visible
,,Vaporeon,T Promos,2,
,,Poncho-wearing Eevee,SM-P Promos,138,
136,Flareon,Pokémon Center,BW-P Promos,190,
,,Charizard-EX,XY Promos,121,
,,Vaporeon,T Promos,2,only partially visible
,,Poncho-wearing Eevee,SM-P Promos,139,costume
,,Umbreon V,Evolving Skies,189,silhouette
137,Porygon,Porygon-Z,Paradox Rift,214,figure
138,Omanyte,Bill's PC,Expansion Sheet 3,-,
,,Lileep,Cosmic Eclipse,10,
,,Aerodactyl V,Lost Origin,180,
,,Mysterious Fossil,Fossil,62,fossil
,,,Legendary Collection,109,
,,,Sandstorm,91,
,,Aerodactyl,Expansion Sheet 2,-,
,,Kabuto,Expansion Sheet 2,-,
,,Omastar,Communication Evolution promo,-,
,,Larvitar,McDonald's Minimum Pack,18,
,,Buried Fossil,Skyridge,47,
,,Mysterious Fossil,Legend Maker,79,
,,,Holon Phantoms,92,
,,,Power Keepers,85,
,,Helix Fossil,Majestic Dawn,91,
,,Helix Fossil,Arceus,93,
,,Helix Fossil Omanyte,Fates Collide,102,
,,Pokémon Research Lab,Unified Minds,205,
,,Unidentified Fossil,Astral Radiance,157,
,,,Silver Tempest,165,
,,Antique Helix Fossil,151,162,
,,Durant,White Flare,150,
139,Omastar,Anorith,Silver Tempest,95,
,,Omanyte,151,180,
,,Kabutops,Arceus,4,only partially visible
,,Dunsparce,Crown Zenith,GG23,model
,,Blaine's Quiz #1,Gym Heroes,97,silhouette
140,Kabuto,Omanyte,151,180,
,,Ruin Wall,Neo Discovery,74,wall carving
,,Buried Fossil,Skyridge,47,fossil
,,Dome Fossil,Majestic Dawn,89,
,,Dome Fossil,Arceus,92,
,,Dome Fossil Kabuto,Fates Collide,96,
,,Antique Dome Fossil,151,161,
141,Kabutops,Omastar,Arceus,23,
,,Mysterious Fossil,Fossil,62,fossil
,,,Legendary Collection,109,
,,,Sandstorm,91,
,,Mysterious Fossil,Legend Maker,79,
,,,Holon Phantoms,92,
,,,Power Keepers,85,
142,Aerodactyl,Poliwrath,Skyridge,H24,shadow
,,,Skyridge,26,
,,Dunsparce,Crown Zenith,GG23,model
,,Ruin Wall,Crossing the Ruins...,-,wall carving
,,Roxanne,Crown Zenith,GG66,fossil
,,Mysterious Fossil,Fossil,62,
,,,Legendary Collection,109,
,,,Sandstorm,91,
,,Omastar,Communication Evolution promo,-,
,,Buried Fossil,Skyridge,47,
,,Mysterious Fossil,Legend Maker,79,
,,,Holon Phantoms,92,
,,,Power Keepers,85,
,,Pikachu at the Museum,MEP Promos,-,fossil; Jumbo
,,Old Amber,Majestic Dawn,84,fossil; Old Amber
,,Old Amber,Arceus,89,
,,Old Amber Aerodactyl,Dark Explorers,97,
,,Old Amber Aerodactyl,Fates Collide,106,
,,Pokémon Research Lab,Unified Minds,205,
,,Antique Old Amber,151,154,
,Mega Aerodactyl,Aerodactyl Spirit Link,XY Promos,99,
143,Snorlax,Challenge!,Team Rocket,74,
,,,Legendary Collection,106,
,,Sleep!,Team Rocket,79,
,,Tropical Present,Miscellaneous Promos,early '99,Jumbo
,,Tropical Present,Miscellaneous Promos,©2001,Jumbo
,,Ghetsis,Plasma Freeze,101,
,,Chespin,BREAKthrough,9,
,,Chansey,Twilight Masquerade,187,
,,Charmander,MEP Promos,38,
,,Computer Error,Wizards Promos,16,only partially visible
,,Snorlax Doll,Paradox Rift,175,plushie
,,Arcade Game,Neo Genesis,83,picture
,,Arcade Game,"Gold, Silver, to a New World...",-,
,,New Century Present,Miscellaneous Promos,-,kite; Jumbo
,,Excadrill,Temporal Forces,174,can
,,Milcery,Stellar Crown,152,bowl
,,Slurpuff,Ascended Heroes,94,sweets
144,Articuno,Trainer Certification Card,Miscellaneous Promos,-,
,,Lawrence III,Miscellaneous Promos,-,Jumbo
,,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
,,Ekans,Hidden Fates,26,
,,Zapdos ex,151,202,
,,Gengar,Skyridge,H9,statue
,,,Skyridge,10,
,,Ancient Ruins,Skyridge,119,
,,Raifort,Twilight Masquerade,161,necklace
,,Raifort,Prismatic Evolutions,142,
145,Zapdos,Trainer Certification Card,Miscellaneous Promos,-,
,,Lawrence III,Miscellaneous Promos,-,Jumbo
,,Lucky Stadium,Chūbu World Challenge Promo,-,
,,Illusion's Zorua,2010 Card Design Contest,2nd Grade,
,,Hoothoot,Unified Minds,165,
,,Illusion's Zoroark,2010 Card Design Contest,4th Grade,only partially visible
,,Gengar,Skyridge,H9,statue
,,,Skyridge,10,
,,Magneton,Skyridge,H19,
,,,Skyridge,20,
,,Haunter,Skyridge,63,
,,Nidoran♀,Skyridge,81,
,,Ancient Ruins,Skyridge,119,
,,Spark,Pokémon GO,70,necklace
,,Spark,Pokémon GO,85,
,,,SWSH Promos,226,
146,Moltres,Trainer Certification Card,Miscellaneous Promos,-,
,,Lawrence III,Miscellaneous Promos,-,Jumbo
,,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
,,Dwebble,Unified Minds,10,
,,Zapdos ex,151,202,
,,Magneton,Skyridge,H19,statue
,,,Skyridge,20,
,,Nidoran♀,Skyridge,81,
,,Ancient Ruins,Skyridge,119,
,,Blissey,Pokémon GO,52,Team Valor logo
,,Candela,Pokémon GO,83,
,,,SWSH Promos,228,
147,Dratini,Lapras,Southern Islands,12,
,,Tropical Present,Miscellaneous Promos,late '99,Jumbo
,,New Year Present,Miscellaneous Promos,-,Jumbo
,,Venusaur,Pokémon Rumble,1,
,,Mega Dragonite ex,Ascended Heroes,290,
,,Yungoos,Obsidian Flames,176,statue
148,Dragonair,Mega Dragonite ex,Ascended Heroes,290,
,,Chespin,SM-P Promos,260,book
,,Inkay,SM-P Promos,261,
,,Pikachu at the Museum,MEP Promos,-,stained glass; Jumbo
149,Dragonite,Onix,Southern Islands,3,
,,Tentacruel,Southern Islands,10,
,,Tropical Present,Miscellaneous Promos,late '99,Jumbo
,,New Year Present,Miscellaneous Promos,-,Jumbo
,,Pokémon Breeder Fields,Neo Revelation,62,
,,Blaziken,Furious Fists,14,
,,Pikachu,Collection 151,171,this card was only released in Simplified Chinese
,,Mega Dragonite ex,Ascended Heroes,290,
,,Litten,SM-P Promos,259,book
150,Mewtwo,The Last Cave – Cerulean!,Expansion Sheet 3,-,
,,Latias and Latios,J Promos,2,Jumbo
,,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
,,Battle City,BW Promos,39,
,,Charizard VSTAR,SWSH Promos,262,
,,Celebratory Fanfare,MEP Promos,28,
,,Pikachu,P Promos,44,only partially visible
,,No.1 Trainer,Super Secret Battle Promo,-,silhouette
,,No.2 Trainer,Super Secret Battle Promo,-,
,,No.3 Trainer,Super Secret Battle Promo,-,
,,Marowak,BREAKthrough,78,
,,Flabébé,BREAKthrough,101,
,,Detective Pikachu,SV-P Promos,98,
,Mega Mewtwo X,Mewtwo Spirit Link,BREAKthrough,144,
,,Pikachu,XY-P Promos,175,
,Mega Mewtwo Y,Mewtwo Spirit Link,BREAKthrough,144,
,,Pikachu,XY-P Promos,175,
151,Mew,Mewtwo Strikes Back,Miscellaneous Promos,-,Jumbo
,,Lucky Stadium,Hokushin'etsu World Challenge Promo,-,
,,Victory Orb,Battle Road Promo,-,
,,Fieldworker,Legend Maker,73,
,,Pokémon Fan Club,POP Series 4,9,
,,Championship Arena,Nintendo Promos,28,
,,Seeker,Triumphant,88,
,,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
,,Player's Ceremony,SM-P Promos,398,
,,Pikachu,SV Promos,190,
,,Pikachu,SV-P Promos,153,this card was only released in Traditional Chinese
,,Pikachu,Collection 151,170,this card was only released in Simplified Chinese
,,Pidgeot,Southern Islands,2,only partially visible
